id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
254,524191.85,5446943.22,3,Pinus_contorta,26,1281,23.5,4.72,61.5,0,2
255,524172.19,5446956.03,3,Pinus_contorta,26,1284,22.3,5.35,39.9,0,3
256,524193.78,5446895.92,3,Pinus_contorta,26,1292,24.4,5.61,38.3,0,2
257,524210.77,5446918.35,3,Pinus_contorta,26,1272,24.7,5.46,101.1,0,3
258,524166.05,5446921.03,3,Pinus_contorta,26,1290,22.7,5.53,14.8,0,2
259,524210.77,5446918.35,3,Pinus_contorta,26,1272,24.7,5.46,101.1,0,3
260,524166.03,5446944.89,3,Pinus_contorta,26,1290,22.7,5.53,34.6,0,3
261,524171.79,5446924.44,3,Pinus_contorta,26,1290,22.7,5.53,45.2,0,2
262,524228.19,5447080.34,3,Pinus_contorta,26,1228,20.7,6.12,21.8,0,1
263,524166.98,5447066.31,3,Pinus_contorta,26,1268,26.7,0.24,36.0,0,2
264,524183.59,5446942.11,3,Pinus_contorta,58,1290,22.7,5.53,58.4,0,2
265,524175.87,5446930.82,3,Pinus_contorta,58,1290,22.7,5.53,89.7,0,3
266,524183.59,5446942.11,3,Pinus_contorta,58,1290,22.7,5.53,58.4,0,2
267,524188.04,5446943.22,3,Pinus_contorta,58,1281,23.5,4.72,60.2,0,2
268,524175.87,5446930.82,3,Pinus_contorta,58,1290,22.7,5.53,89.7,0,3
269,524174.44,5446931.29,3,Pinus_contorta,58,1290,22.7,5.53,49.6,0,2
270,524224.5,5446914.28,3,Pinus_contorta,58,1284,24.2,6.29,106.8,0,3
271,524194.71,5446943.22,3,Pinus_contorta,58,1281,23.5,4.72,62.8,0,2
272,524226.09,5446915.55,3,Pinus_contorta,58,1272,23.7,7.36,109.1,0,3
273,524212.67,5446914.44,3,Pinus_contorta,58,1284,24.2,6.29,98.8,0,3
274,524168.2,5446931.24,3,Pinus_contorta,15,1290,22.7,5.53,47.1,0,2
275,524176.66,5446900.1,3,Pinus_contorta,15,1301,24.7,4.85,12.1,0,2
276,524173.78,5446918.41,3,Pinus_contorta,15,1290,22.7,5.53,42.7,0,2
277,524291.92,5446919.23,3,Pinus_contorta,15,1232,23.0,5.72,33.5,0,2
278,524291.17,5446950.08,3,Pinus_contorta,15,1222,24.0,5.08,51.7,0,4
279,524196.4,5446937.11,3,Pinus_contorta,15,1281,23.5,4.72,60.2,0,2
280,524186.88,5446937.27,3,Pinus_contorta,15,1281,23.5,4.72,57.1,0,2
281,524196.4,5446937.11,3,Pinus_contorta,15,1281,23.5,4.72,60.2,0,2
282,524192.11,5446937.75,3,Pinus_contorta,15,1281,23.5,4.72,59.0,0,2
283,524194.97,5446937.59,3,Pinus_contorta,15,1281,23.5,4.72,60.2,0,2
284,524225.61,5446893.88,3,Pinus_contorta,15,1272,23.7,7.36,50.2,0,2
285,524184.81,5446946.0,3,Pinus_contorta,15,1281,23.5,4.72,60.9,0,2
286,524184.81,5446946.0,3,Pinus_contorta,15,1281,23.5,4.72,60.9,0,2
287,524184.6,5446948.46,3,Pinus_contorta,30,1273,23.5,5.41,62.1,0,2
288,524182.01,5446965.87,3,Pinus_contorta,30,1284,22.3,5.35,127.2,0,3
289,524357.33,5446943.45,3,Pinus_contorta,30,1206,23.5,5.75,41.5,0,4
290,524225.45,5446893.09,3,Pinus_contorta,30,1272,23.7,7.36,49.6,0,2
291,524186.72,5446939.12,3,Pinus_contorta,30,1281,23.5,4.72,57.7,0,2
292,524174.28,5446915.97,3,Pinus_contorta,30,1301,24.7,4.85,41.4,0,2
293,524225.08,5446901.63,3,Pinus_contorta,30,1272,23.7,7.36,53.3,0,2
294,524182.01,5446965.87,3,Pinus_contorta,30,1284,22.3,5.35,127.2,0,3
295,524347.74,5446893.84,3,Pinus_contorta,30,1218,21.9,5.89,61.9,0,4
296,524180.58,5446966.35,3,Pinus_contorta,30,1284,22.3,5.35,126.1,0,3
297,524166.77,5446963.76,3,Pinus_contorta,30,1284,22.3,5.35,41.1,0,3
298,524225.45,5446893.09,3,Pinus_contorta,16,1272,23.7,7.36,49.6,0,2
299,524178.78,5446947.06,3,Pinus_contorta,16,1290,22.7,5.53,59.0,0,2
300,524166.77,5446963.76,3,Pinus_contorta,16,1284,22.3,5.35,41.1,0,3
301,524225.45,5446893.09,3,Pinus_contorta,16,1272,23.7,7.36,49.6,0,2
302,524228.15,5446901.66,3,Pinus_contorta,16,1272,23.7,7.36,54.6,0,2
303,524274.0,5446964.34,3,Pinus_contorta,21,1230,26.1,6.38,52.9,0,4
304,524177.67,5447075.49,3,Pinus_contorta,29,1258,27.1,6.83,33.1,0,1
